location_region;location_name;max_price;min_price;average_price
Αττική;Βάρη - Βούλα - Βουλιαγμένη;25000000;45000;1060455.85
Αττική;Βριλήσσια;11000000;100000;913120.00
Αττική;Λαυρεωτική;10000000;60000;556821.92
Αττική;Γαλάτσι;9000000;27000;412280.33
Αττική;Άλιμος;8550000;50000;474821.66
Αττική;Γλυφάδα;8000000;70000;679543.50
Αττική;Αθήνα;6000000;14000;209773.17
Αττική;Αιγάλεω;6000000;30000;241854.46
Αττική;Αχαρνές;6000000;28000;553176.68
Αττική;Χαλάνδρι;5500000;11700;409002.36
Αττική;Ελληνικό - Αργυρούπολη;5500000;80000;639907.14
Αττική;Κηφισιά;5000000;105255;635360.44
Αττική;Φιλοθέη - Ψυχικό;5000000;50000;758343.75
Αττική;Πειραιάς;5000000;25000;224123.41
Αττική;Ζωγράφου;5000000;20500;226136.84
Αττική;Διόνυσος;4500000;45000;702622.20
Αττική;Παγκράτι;4200000;35000;253898.31
Αττική;Νέα Σμύρνη;4200000;35000;299178.40
Αττική;Άγιος Δημήτριος;4000000;60000;315948.28
Αττική;Μαρούσι;3800000;25600;393614.55
Αττική;Κρωπία;3200000;50000;561732.49
Αττική;Αίγινα;3150000;120000;571612.90
Αττική;Νέα Ιωνία;3100000;35000;267729.05
Αττική;Αργυρούπολη;3000000;49000;399178.08
Αττική;Καλλιθέα;3000000;25000;253244.60
Αττική;Πεντέλη;2500000;70000;738750.00
Αττική;Δάφνη;2000000;25000;230288.19
Αττική;Παλαιό Φάληρο;2000000;53000;361577.43
Αττική;Ραφήνα Πικέρμι;1530000;50000;497392.16
Αττική;Νίκαια;1500000;30000;145420.32
Αττική;Σπάτα;1400000;45000;291066.67
Αττική;Ηλιούπολη;1350000;48000;309386.60
Αττική;Μάνδρα - Ειδυλλία;1200000;60000;305192.31
Αττική;Παλλήνη;1200000;60000;384948.28
Αττική;Περιστέρι;1100000;19000;182496.89
Αττική;Καισαριανή;1050000;58000;253111.50
Αττική;Χολαργός;1000000;85000;338670.97
Αττική;Βύρωνας;1000000;32000;198504.50
Αττική;Άγιοι Ανάργυροι;920000;21000;138168.22
Αττική;Παιανία;920000;65000;400000.00
Αττική;Μοσχάτο - Ταύρος;850000;37000;204990.52
Αττική;Μέγαρα;800000;24000;203242.42
Αττική;Παπάγου;800000;110000;350800.00
Αττική;Κερατσίνι-Δραπετσώνα;750000;30000;153296.30
Αττική;Σαλαμίνα;750000;30000;184270.27
Αττική;Χαϊδάρι;700000;32000;214287.66
Αττική;Αγία Παρασκευή;650000;53000;304231.71
Αττική;Ίλιον;640000;32000;162079.30
Αττική;Πετρούπολη;600000;60000;191466.60
Αττική;Λυκόβρυση Πεύκη;550000;230000;424285.71
Αττική;Αγιά Βαρβάρα;480000;35000;158714.29
Αττική;Κορυδαλλός;430000;65000;155421.05
Αττική;Ασπρόπυργος;417000;50000;199000.00
Αττική;Πέραμα;400000;19300;137009.68
Αττική;Δάφνη-Υμηττός;400000;56000;187481.48
Αττική;Φυλή;300000;100000;216428.57
Αττική;Ελευσίνα;195000;65000;120950.00
Θεσσαλονίκη;Θεσσαλονίκη;3200000;11000;163310.60
Θεσσαλονίκη;Λαγκάδας;2200000;20000;214705.70
Θεσσαλονίκη;Δήμος Θερμαϊκού;2100000;30000;309584.62
Θεσσαλονίκη;Καλλιθέα;1600000;20000;296230.77
Θεσσαλονίκη;Καλαμαριά;550000;87642;251029.18
Θεσσαλονίκη;Ευκαρπία;470000;70000;170833.33
Θεσσαλονίκη;Μηχανιώνα;460000;65000;154583.33
Θεσσαλονίκη;Μυγδονία;400000;35000;250625.00
Θεσσαλονίκη;Θέρμη;300000;55000;186733.33
Θεσσαλονίκη;Νεάπολη;230000;35000;90685.43
Θεσσαλονίκη;Άγιος Παύλος;200000;30000;98285.71
Θεσσαλονίκη;Επανομή;170000;60000;106000.00
Θεσσαλονίκη;Δήμος Κορώνειας Θεσσαλονίκης;160000;37000;85666.67
Θεσσαλονίκη;Δήμος Καλλινδοίων;150000;150000;150000.00
Θεσσαλονίκη;Δήμος Εχεδώρου;120000;120000;120000.00
Θεσσαλονίκη;Άσσηρος;85000;85000;85000.00
